index;code;country;gamma;GDPSH60;LIFEE060;P60; safrica ; laam; bmp1 ; BMS6087; GDC6089; STDC6089; PI6089; STPI6089; SCOUT; area ; freeop; freetar; dpop6090; pyr60; syr60; hyr60; human60; s60; h60 ; YrsOpen; ggcfd3; gvxdxe52; geerec1; gde1; assassp2; revcoup; pinstab2; wardum; prightsb; civlibb; ABSLATIT; FRAC; DEMOC65; PRIEXP70; RULELAW; URB60; RERD; EQINV; NONEQINV; humanyl ; tot1; work60l; lly1; BRIT; FRENCH; SPAIN; BUDDHA; CATH; CONFUC; HINDU; JEW; MUSLIM; PROT; lforce60; Mining; EcOrg; OthFrac; EngFrac
1;DZA;Algeria;0,01;7,44;47,30;0,46;0,00;0,00;0,13;186,56;21,07;13,30;8,06;10,18;1,00;2382,00;0,22;0,03;0,03;0,74;0,10;0,01;0,85;0,08;0,00;0,00;0,23;0,06;0,03;0,03;0,00;0,12;0,17;0,00;5,83;5,89;36,72;0,43;0,27;0,93;0,33;0,30;190,00;0,05;0,19;6,32;-0,01;-1,33;;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,99;0,00;2855,52;0,20;0,00;0,84;0,00
2;AGO;Angola;0,00;6,79;;0,21;1,00;0,00;0,28;239,61;;;9,46;10,53;0,00;1247,00;0,15;0,01;0,02;;;;;0,02;0,00;0,00;;;;;;0,70;;1,00;6,72;6,61;8,84;0,78;0,12;;0,33;0,10;172,00;0,01;0,05;;-0,01;-0,73;;0,00;0,00;0,00;0,00;0,38;0,00;0,00;0,00;0,00;0,15;2319,39;0,27;0,00;0,00;0,00
3;BEN;Benin;-0,01;7,02;38,90;0,27;1,00;0,00;0,05;4,49;;;6,35;4,86;0,00;113,00;0,22;0,05;0,02;;0,07;0,01;;0,02;0,00;0,11;0,02;0,20;0,02;0,02;;0,10;;0,00;7,00;6,39;6,36;0,62;0,25;0,90;;0,09;126,00;0,01;0,10;;0,02;-0,49;;0,00;1,00;0,00;0,00;0,07;0,00;0,00;0,00;0,15;0,08;1372,62;0,01;0,00;0,00;0,00
4;BWA;Botswana;0,06;6,28;45,70;0,42;1,00;0,00;0,07;23,39;;;7,86;8,21;0,00;582,00;;;0,03;1,17;0,09;0,01;1,27;0,01;0,00;0,36;0,08;;0,03;;0,00;0,00;0,00;0,00;2,06;3,00;21,54;0,51;;0,75;0,83;0,02;131,00;0,13;0,15;7,99;;-0,82;;1,00;0,00;0,00;0,00;0,25;0,00;0,00;0,00;0,00;0,25;210,92;0,53;5,00;0,00;0,00
5;HVO;Burkina Faso;0,00;6,15;36,30;0,08;1,00;0,00;0,05;4,49;;;4,93;5,60;0,00;274,00;;;0,02;;;;;0,01;;0,00;0,10;0,05;0,02;0,02;0,00;0,41;0,10;0,00;5,50;4,89;12,05;0,68;0,07;0,96;0,50;0,05;130,00;;;;0,07;;;0,00;1,00;0,00;0,00;0,10;0,00;0,00;0,00;0,25;0,00;;0,00;1,00;0,00;0,00
6;BDI;Burundi;0,00;6,38;41,80;0,18;1,00;0,00;0,00;20,79;24,13;40,70;5,80;9,46;0,00;28,00;0,25;0,05;0,02;;;;;0,01;0,00;0,00;0,03;0,05;0,02;0,01;0,00;0,39;0,17;1,00;6,83;6,17;3,37;0,04;0,58;0,98;;0,02;167,00;0,01;0,04;;;-0,51;;0,00;0,00;0,00;0,00;0,62;0,00;0,00;0,00;0,01;0,05;1776,17;0,01;4,00;0,00;0,00
7;CMR;Cameroon;0,01;6,55;43,40;0,65;1,00;0,00;0,05;4,47;17,44;13,58;7,12;5,84;1,00;475,00;0,20;0,05;0,03;;0,30;0,01;;0,02;0,00;0,16;0,04;0,12;0,02;0,02;0,00;0,08;0,00;0,00;6,06;5,56;10,73;0,89;0,56;0,92;0,50;0,14;187,00;0,00;0,13;;-0,04;-0,72;0,13;0,00;1,00;0,00;0,00;0,16;0,00;0,00;0,00;0,16;0,17;2587,05;0,09;5,00;0,01;0,00
8;CPV;Cape verde;0,03;6,19;;;1,00;0,00;;;;;;;;;;;0,02;;;;;;;0,13;;;;;;;;;5,61;5,94;15,09;;;0,88;;;;;;;;-1,06;;0,00;0,00;0,00;;;;;;;;67,66;0,01;1,00;0,70;0,00
9;CAF;Cent'l Afr Rep;-0,01;6,49;39,30;0,32;1,00;0,00;0,05;4,48;11,12;14,81;7,64;7,00;0,00;623,00;0,19;0,04;0,02;;0,11;0,01;;0,01;0,00;0,00;0,06;0,27;0,02;0,01;0,00;0,39;0,20;0,00;6,83;6,22;4,33;0,83;0,34;0,56;;0,23;156,00;;;;-0,02;-0,50;;0,00;1,00;0,00;0,00;0,25;0,00;0,00;0,00;0,15;0,25;926,08;0,03;3,00;0,00;0,00
10;TCD;Chad;-0,02;6,50;34,90;0,17;1,00;0,00;0,05;4,48;12,68;19,10;5,68;9,14;0,00;1284,00;;;0,02;;;;;;0,00;0,00;;0,25;0,01;0,01;0,00;0,67;0,10;1,00;6,56;6,50;10,38;0,69;0,48;0,95;;0,07;142,00;;;;-0,01;-0,93;0,12;0,00;1,00;0,00;0,00;0,16;0,00;0,00;0,00;0,44;0,17;1203,23;0,00;5,00;0,30;0,00
